car_name;from;mpg;cylinders;horsepower;weight;acceleration
Chevrolet Chevelle Malibu;(1970, USA);18.0 mpg;8;130;3,504;12.0
Buick Skylark 320;(1970, USA);15.0 mpg;8;165;3,693;11.5
Plymouth Satellite;(1970, USA);18.0 mpg;8;150;3,436;11.0
Amc Rebel Sst;(1970, USA);16.0 mpg;8;150;3,433;12.0
Ford Torino;(1970, USA);17.0 mpg;8;140;3,449;10.5
Ford Galaxie 500;(1970, USA);15.0 mpg;8;198;4,341;10.0
Chevrolet Impala;(1970, USA);14.0 mpg;8;220;4,354;9.0
Plymouth Fury Iii;(1970, USA);14.0 mpg;8;215;4,312;8.5
Pontiac Catalina;(1970, USA);14.0 mpg;8;225;4,425;10.0
Amc Ambassador Dpl;(1970, USA);15.0 mpg;8;190;3,850;8.5
Citroen Ds-21 Pallas;(1970, Europe);- mpg;4;115;3,090;17.5
Chevrolet Chevelle Concours (Sw);(1970, USA);- mpg;8;165;4,142;11.5
Ford Torino (Sw);(1970, USA);- mpg;8;153;4,034;11.0
Plymouth Satellite (Sw);(1970, USA);- mpg;8;175;4,166;10.5
Amc Rebel Sst (Sw);(1970, USA);- mpg;8;175;3,850;11.0
Dodge Challenger Se;(1970, USA);15.0 mpg;8;170;3,563;10.0
Plymouth 'Cuda 340;(1970, USA);14.0 mpg;8;160;3,609;8.0
Ford Mustang Boss 302;(1970, USA);- mpg;8;140;3,353;8.0
Chevrolet Monte Carlo;(1970, USA);15.0 mpg;8;150;3,761;9.5
Buick Estate Wagon (Sw);(1970, USA);14.0 mpg;8;225;3,086;10.0
Toyota Corona Mark Ii;(1970, Japan);24.0 mpg;4;95;2,372;15.0
Plymouth Duster;(1970, USA);22.0 mpg;6;95;2,833;15.5
Amc Hornet;(1970, USA);18.0 mpg;6;97;2,774;15.5
Ford Maverick;(1970, USA);21.0 mpg;6;85;2,587;16.0
Datsun Pl510;(1970, Japan);27.0 mpg;4;88;2,130;14.5
Volkswagen 1131 Deluxe Sedan;(1970, Europe);26.0 mpg;4;46;1,835;20.5
Peugeot 504;(1970, Europe);25.0 mpg;4;87;2,672;17.5
Audi 100 Ls;(1970, Europe);24.0 mpg;4;90;2,430;14.5
Saab 99E;(1970, Europe);25.0 mpg;4;95;2,375;17.5
Bmw 2002;(1970, Europe);26.0 mpg;4;113;2,234;12.5
Amc Gremlin;(1970, USA);21.0 mpg;6;90;2,648;15.0
Ford F250;(1970, USA);10.0 mpg;8;215;4,615;14.0
Chevy C20;(1970, USA);10.0 mpg;8;200;4,376;15.0
Dodge D200;(1970, USA);11.0 mpg;8;210;4,382;13.5
Hi 1200D;(1970, USA);9.0 mpg;8;193;4,732;18.5
Datsun Pl510;(1971, Japan);27.0 mpg;4;88;2,130;14.5
Chevrolet Vega 2300;(1971, USA);28.0 mpg;4;90;2,264;15.5
Toyota Corona;(1971, Japan);25.0 mpg;4;95;2,228;14.0
Ford Pinto;(1971, USA);25.0 mpg;4;-;2,046;19.0
Volkswagen Super Beetle 117;(1971, Europe);- mpg;4;48;1,978;20.0
Amc Gremlin;(1971, USA);19.0 mpg;6;100;2,634;13.0
Plymouth Satellite Custom;(1971, USA);16.0 mpg;6;105;3,439;15.5
Chevrolet Chevelle Malibu;(1971, USA);17.0 mpg;6;100;3,329;15.5
Ford Torino 500;(1971, USA);19.0 mpg;6;88;3,302;15.5
Amc Matador;(1971, USA);18.0 mpg;6;100;3,288;15.5
Chevrolet Impala;(1971, USA);14.0 mpg;8;165;4,209;12.0
Pontiac Catalina Brougham;(1971, USA);14.0 mpg;8;175;4,464;11.5
Ford Galaxie 500;(1971, USA);14.0 mpg;8;153;4,154;13.5
Plymouth Fury Iii;(1971, USA);14.0 mpg;8;150;4,096;13.0
Dodge Monaco (Sw);(1971, USA);12.0 mpg;8;180;4,955;11.5
Ford Country Squire (Sw);(1971, USA);13.0 mpg;8;170;4,746;12.0
Pontiac Safari (Sw);(1971, USA);13.0 mpg;8;175;5,140;12.0
Amc Hornet Sportabout (Sw);(1971, USA);18.0 mpg;6;110;2,962;13.5
Chevrolet Vega (Sw);(1971, USA);22.0 mpg;4;72;2,408;19.0
Pontiac Firebird;(1971, USA);19.0 mpg;6;100;3,282;15.0
Ford Mustang;(1971, USA);18.0 mpg;6;88;3,139;14.5
Mercury Capri 2000;(1971, USA);23.0 mpg;4;86;2,220;14.0
Opel 1900;(1971, Europe);28.0 mpg;4;90;2,123;14.0
Peugeot 304;(1971, Europe);30.0 mpg;4;70;2,074;19.5
Fiat 124B;(1971, Europe);30.0 mpg;4;76;2,065;14.5
